Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACAPETAHUA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,ACAPETAHUA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,ACAPETAHUA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,ALDAMA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ALDAMA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,ALDAMA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,ALDAMA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,ALTAMIRANO,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ALTAMIRANO,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,ALTAMIRANO,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,ALTAMIRANO,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATAN,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATAN,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,AMATAN,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,AMATAN,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,AMATENANGO DE LA FRONTERA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,AMATENANGO DEL VALLE,SURESTE,220.59,,,,,
